Label,Selectivity,L,Recall,AvgLat_us,QPS,P99Lat,MeanHops,MeanIOs
1,1,2203,98.58,17262.39,223.92,25763.0,0.0,2203.12
2,2,1203,98.8,9182.04,420.13,13214.0,0.0,1203.28
3,3,751,98.25,5795.63,663.54,11863.0,0.0,751.72
4,4,603,98.5,4881.07,789.19,8138.0,0.0,604.13
5,5,504,98.69,4029.36,949.53,7191.0,0.0,505.55
6,6,388,98.07,3445.45,1106.8,11544.0,0.0,390.22
7,7,352,98.41,2985.75,1283.89,8491.0,0.0,354.52
8,8,303,98.12,2738.17,1405.79,4487.0,0.0,305.95
9,9,303,98.76,2632.48,1460.5,3891.0,0.0,305.95
10,10,254,98.33,2296.92,1668.05,4616.0,0.0,257.46
11,11,254,98.82,2549.99,1506.47,3996.0,0.0,257.46
12,12,205,98.01,1981.92,1936.31,4237.0,0.0,209.09
13,13,195,98.06,1927.93,1983.91,4191.0,0.0,199.21
14,14,189,98.32,1916.1,1995.88,4680.0,0.0,193.28
15,15,177,98.28,1838.78,2084.67,3956.0,0.0,181.49
16,16,177,98.57,1772.58,2157.42,3177.0,0.0,181.48
17,17,153,98.06,1659.17,2306.39,3305.0,0.0,157.86
18,18,153,98.43,1601.42,2399.71,2421.0,0.0,157.9
19,19,153,98.65,1637.05,2347.66,2797.0,0.0,157.89
20,20,153,98.81,1701.06,2261.48,3060.0,0.0,157.84
